"Sheet","Context","Crop_Category","Crop_Group","Crop","Nutrient","Nutrient_Normalized","Nutrient_Type","Item","Detail","Source_URL"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Calcium","Calcium","Macro","Deficiency symptoms","Chlorotic - necrotic split or rolled tips of younger leaves. Tips of youngest leaves become white rolled and curled. Necrotic tissue along the lateral margins.","https://agritech.tnau.ac.in/agriculture/plant_nutri/Rice_Ca.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Calcium","Calcium","Macro","Correction measure / remedy","Apply CaCl2 or Ca containing foliar sprays for rapid treatment of severe Ca deficiency. Apply gypsum in Ca-deficient high pH soils, e.g., on sodic & high K soils.","https://agritech.tnau.ac.in/agriculture/plant_nutri/Rice_Ca.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Calcium","Calcium","Macro","Deficiency symptoms","Chlorotic - necrotic split or rolled tips of younger leaves. • Necrotic tissues appear along the lateral margins.","https://agritech.tnau.ac.in/agriculture/plant_nutri/rice_cal.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Calcium","Calcium","Macro","Correction measure / remedy","Apply 1 % CaCl 2 (10g/lit) as foliar spray • Apply gypsum (500kg/ha) in Ca-deficient high pH soilsTD height=""27"" colSpan=1 align=""right"" bgcolor=""#","https://agritech.tnau.ac.in/agriculture/plant_nutri/rice_cal.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Magnesium","Magnesium","Macro","Deficiency symptoms","Orange-yellow coloration on older leaves and tip become white • The leaves are wavy and droopy","https://agritech.tnau.ac.in/agriculture/plant_nutri/rice_magnes.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Magnesium","Magnesium","Macro","Correction measure / remedy","Foliar application of 0.5 % MgSO 4 (5g/lit), two times at 15 days intervalTD height=""27"" colSpan=1 align=""right"" bgcolor=""#D","https://agritech.tnau.ac.in/agriculture/plant_nutri/rice_magnes.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Sulphur","Sulphur","Macro","Deficiency symptoms","Pale green plant and light green colored young leaves. Yellowing of the plants. Chlorosis in young leaves with tips become necrotic. Reduced height. Reduced tillers with shortened panicles.","https://agritech.tnau.ac.in/agriculture/plant_nutri/Rice_S.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Sulphur","Sulphur","Macro","Correction measure / remedy","For moderate S deficiency apply 10 kg S ha-1 application of 20-40 kg S ha-1. Use slow acting S forms (gypsum, elemental S) if leaching is likely to be a problem. Soil application of calcium silicate: 120-200 kg ha-1 or Potassium silicate: 40-60 kg ha-1.","https://agritech.tnau.ac.in/agriculture/plant_nutri/Rice_S.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Sulphur","Sulphur","Macro","Deficiency symptoms","Pale green younger leaves with necrotic tip • Reduced tillers with shortened panicles","https://agritech.tnau.ac.in/agriculture/plant_nutri/rice_sulphur.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Sulphur","Sulphur","Macro","Correction measure / remedy","Foliar application of 0.5 % wettable sulphur (5g/lit), two times at 15 days interval.TD height=""27"" colSpan=1 align=""right"" bgcolor=""#D","https://agritech.tnau.ac.in/agriculture/plant_nutri/rice_sulphur.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Boron","Boron","Micro","Deficiency symptoms","White rolled leaf tips of young leaves. Reduced height with leaf tips white in colour and rolled. Death of the growing point.","https://agritech.tnau.ac.in/agriculture/plant_nutri/Rice_B.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Boron","Boron","Micro","Correction measure / remedy","Soil application of borax at 0.5-3 kg ha-1 or as foliar spray during vegetative growth.","https://agritech.tnau.ac.in/agriculture/plant_nutri/Rice_B.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Boron","Boron","Micro","Deficiency symptoms","Reduced plant height • Leaf tips become white in colour and rolled","https://agritech.tnau.ac.in/agriculture/plant_nutri/rice_boron.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Boron","Boron","Micro","Correction measure / remedy","Soil application of borax at @ 10 kg/ha • Foliar spray of 0.3% boric acid (3g/lit), two times at 15 days intervalTD height=""27"" colSpan=1 align=""right"" bgcolor=""","https://agritech.tnau.ac.in/agriculture/plant_nutri/rice_boron.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Copper","Copper","Micro","Deficiency symptoms","Chlorotic streaks, bluish green leaves. Leaf tips become chlorotic with streaks on either side of the midrib, followed by appearance of dark brown necrotic lesions on the leaf tips. Leaves bluish green and leaf tip needle-like, while the leaf base appears normal. Tillering reduced.","https://agritech.tnau.ac.in/agriculture/plant_nutri/Rice-Copper.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Copper","Copper","Micro","Correction measure / remedy","Soil application CuSO4 at 1-5 kg Cu ha-1 or apply cupric sulfate solution as foliar spray.","https://agritech.tnau.ac.in/agriculture/plant_nutri/Rice-Copper.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Copper","Copper","Micro","Deficiency symptoms","Bluish green leaves with chlorotic streaks on either side of the midrib followed by appearance of dark brown necrotic lesions on the needle like leaf tips. • Reduced tillering","https://agritech.tnau.ac.in/agriculture/plant_nutri/rice_copper.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Copper","Copper","Micro","Correction measure / remedy","Apply Copper Sulphate 0.2 % (2g/lit), two times as foliar spray at 15 days interval.TD height=""27"" colSpan=1 align=""right"" b","https://agritech.tnau.ac.in/agriculture/plant_nutri/rice_copper.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Copper","Copper","Micro","Deficiency symptoms","Chlorotic streaks, bluish green leaves. Leaf tips become chlorotic with streaks on either side of the midrib, followed by appearance of dark brown necrotic lesions on the leaf tips. Leaves bluish green and leaf tip needle-like, while the leaf base appears normal. Tillering reduced.","https://agritech.tnau.ac.in/horticulture/plant_nutri/Rice-Copper.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Copper","Copper","Micro","Correction measure / remedy","Soil application CuSO4 at 1-5 kg Cu ha-1 or apply cupric sulfate solution as foliar spray.","https://agritech.tnau.ac.in/horticulture/plant_nutri/Rice-Copper.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Iron","Iron","Micro","Deficiency symptoms","Interveinal chlorosis in young leaves • Whole Leaves become chlorotic and then very pale • Decreased dry matter production","https://agritech.tnau.ac.in/agriculture/plant_nutri/rice_sili.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Iron","Iron","Micro","Correction measure / remedy","Apply ferrous sulphate @ 0.5 % (5g/lit) as foliar spray, two times at 15 days intervalTD height=""27"" colSpan=1 align=""right"" b","https://agritech.tnau.ac.in/agriculture/plant_nutri/rice_sili.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Manganese","Manganese","Micro","Deficiency symptoms","Interveinal chlorosis starting at the tip of younger leaves. Pale greayish green interveinal chlorosis spreading from the tip of the leaf to the base. Necrotic brown spots develop and leaf becomes dark brown. New leaves short narrow and light green.","https://agritech.tnau.ac.in/agriculture/plant_nutri/Rice_Manganese.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Manganese","Manganese","Micro","Correction measure / remedy","Apply MnSO4 (5-20 kg Mn ha-1) in bands along rice row. Apply foliar MnSO4 (1-5 kg Mn ha-1 in about 200 L water ha-1)","https://agritech.tnau.ac.in/agriculture/plant_nutri/Rice_Manganese.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Zinc","Zinc","Micro","Deficiency symptoms","Leaf base of younger leaves become chlorotic • Dusty brown spots on younger leaves • Stunted growth, low tillering and increased spikelet sterility","https://agritech.tnau.ac.in/agriculture/plant_nutri/rice_zin.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Zinc","Zinc","Micro","Correction measure / remedy","Apply ZnSO 4 @ 25 kg/ha • Foliar spray of 0.5 % ZnSO 4 ( 5g/lit), two times at 15 days intervalTD height=""27"" colSpan=1 align=""right"" b","https://agritech.tnau.ac.in/agriculture/plant_nutri/rice_zin.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Silicon","Silicon","Micro","Deficiency symptoms","Soft, droopy leaves and culms. Leaves become chlorotic which later become necrotic brown spots. Entire leaf becomes brown or pink. Reduced panicles per m2. Susceptible to lodging.","https://agritech.tnau.ac.in/agriculture/plant_nutri/Rice_Silicon.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Silicon","Silicon","Micro","Correction measure / remedy","Apply Calcium silicate @ 120- 200 kg/ ha (or) Potassium silicate @ 40- 60 kg/ ha for disappearance of symptoms","https://agritech.tnau.ac.in/agriculture/plant_nutri/Rice_Silicon.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Wheat","Copper","Copper","Micro","Deficiency symptoms","Chlorotic leaves, leaf curl and twist at the tips and margins. The heads bleached","https://agritech.tnau.ac.in/agriculture/plant_nutri/wheat_copp.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Wheat","Copper","Copper","Micro","Correction measure / remedy","Foliar spray of CuSo4 0.3% (3g/ lit).","https://agritech.tnau.ac.in/agriculture/plant_nutri/wheat_copp.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Wheat","Manganese","Manganese","Micro","Deficiency symptoms","Grey speck spots leaves often drop at the base lighter green than normal.","https://agritech.tnau.ac.in/agriculture/plant_nutri/wheat_manganes.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Wheat","Manganese","Manganese","Micro","Correction measure / remedy","Foliar spray of MnSO4 0.2% (2g/ lit).","https://agritech.tnau.ac.in/agriculture/plant_nutri/wheat_manganes.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Fibre Crops","Cotton","Nitrogen","Nitrogen","Macro","Deficiency symptoms","General yellowing of the older leaves. • Stunted growth with few vegetative fruiting branches.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cot_nitro.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Fibre Crops","Cotton","Nitrogen","Nitrogen","Macro","Correction measure / remedy","Urea 1% foliar spray or DAP 2% can control this deficiency","https://agritech.tnau.ac.in/agriculture/plant_nutri/cot_nitro.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Fibre Crops","Cotton","Phosphorus","Phosphorus","Macro","Deficiency symptoms","Dark green stunted plants. • Small leaves and the symptoms first appear on the lower or older leaves and progress upward on the stalk. • Delay in blooming and fruiting. • Redderg symptom appear on leaves.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cot_phos.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Fibre Crops","Cotton","Phosphorus","Phosphorus","Macro","Correction measure / remedy","Foliar application of 2% DAP.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cot_phos.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Fibre Crops","Cotton","Potassium","Potassium","Macro","Deficiency symptoms","Older leaves are chlorotic, droopy and have yellow spots between the veins the edges turn yellow then brown curt downward and die. • Brown spots appear between vein dry the margins and tip of leaves. • The tips curl and breakdown. • The leaves brown-reddish brown of dry. • The maturity and quality of both offered.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cot_pota.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Fibre Crops","Cotton","Potassium","Potassium","Macro","Correction measure / remedy","Foliar spray of 1 % KCl","https://agritech.tnau.ac.in/agriculture/plant_nutri/cot_pota.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Fibre Crops","Cotton","Calcium","Calcium","Macro","Deficiency symptoms","Large plants and few fruiting forms. Crinkle leaf and poor root growth.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cot_cal.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Fibre Crops","Cotton","Calcium","Calcium","Macro","Correction measure / remedy","Soil application of gypsum @ 50 kg/ha.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cot_cal.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Fibre Crops","Cotton","Magnesium","Magnesium","Macro","Deficiency symptoms","Leaf cupping and interveinal chlorosis, veins remain green; starts in young leaves.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cot_magnes.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Fibre Crops","Cotton","Magnesium","Magnesium","Macro","Correction measure / remedy","Foliar spray of MgSO4 @ 1 %","https://agritech.tnau.ac.in/agriculture/plant_nutri/cot_magnes.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Fibre Crops","Cotton","Sulphur","Sulphur","Macro","Deficiency symptoms","Pale green to yellow colour of young leaves at the top leave green colour which is similar to N deficiency, bur N deficiency begin near the bottom and not at the top. • The plants are small and spindly with short, slender stalks.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cot_sul.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Fibre Crops","Cotton","Sulphur","Sulphur","Macro","Correction measure / remedy","Foliar spray of MgSO4 @ 1 %","https://agritech.tnau.ac.in/agriculture/plant_nutri/cot_sul.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Fibre Crops","Cotton","Boron","Boron","Micro","Deficiency symptoms","Short leaf petioles with dark green rings. Excessive sheding of buds and young bolls. Ruptured nectarines, small bolls, and delayed maturity. Terminal bud dies, more lateral branches with short internodes. Black discolouration at the base of bolls. Bolls dry and fall young leaves become thick, brittle with water spots.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cot_boron.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Fibre Crops","Cotton","Boron","Boron","Micro","Correction measure / remedy","Soil application of borax 0.5 kg/ha or foliar spray of borax 0.2","https://agritech.tnau.ac.in/agriculture/plant_nutri/cot_boron.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Fibre Crops","Cotton","Iron","Iron","Micro","Deficiency symptoms","Yellowing of cotton leaves at top of plant following irrigation.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cot_iron.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Fibre Crops","Cotton","Iron","Iron","Micro","Correction measure / remedy","Soil application of FeSO4 @ 5 kg/ha or foliar spray of 0.5% FeSO4.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cot_iron.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Fibre Crops","Cotton","Manganese","Manganese","Micro","Deficiency symptoms","Yellowing of cotton leaves at top of plant following irrigation.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cot_mangan.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Fibre Crops","Cotton","Manganese","Manganese","Micro","Correction measure / remedy","Soil application of FeSO4 @ 5 kg/ha or foliar spray of 0.5% FeSO4.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cot_mangan.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Fibre Crops","Cotton","Zinc","Zinc","Micro","Deficiency symptoms","Pronounced inerveinal chlorosis differs from manganese in that leaves are more misshapen, tips of leaves elongated and parallel. Both old and young leaves show red pigmentation; leaves lose normal green colour of interveinal portions turn golden yellow colour. Brown spots extend from leaf tips to base and later dry. Plants show shorter appearance.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cot_zinc.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Fibre Crops","Cotton","Zinc","Zinc","Micro","Correction measure / remedy","Soil application of ZnSO4 5 kg/ha or foliar application of ZnSO4 1%.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cot_zinc.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Cumbu (Pearl Millet)","Nitrogen","Nitrogen","Macro","Deficiency symptoms","Stunted plant growth, spindly pale yellow or deep yellow color near the tips and margins progresses toward the base.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cumbu_nitro.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Cumbu (Pearl Millet)","Nitrogen","Nitrogen","Macro","Correction measure / remedy","Foliar spray of Urea 1% or DAP 2%.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cumbu_nitro.html"
"Crop nutrient deficiency & correction","nutrient name read from page title","Agricultural Crops","Millets","Cumbu (Pearl Millet)","Phosphorus","Phosphorus","Macro","Deficiency symptoms","Grain filling inhibited. Stunted growth, spindly, dark green leaves with dark red coloration. Leave appear to be erect and leathery.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cumbu_phos.html"
"Crop nutrient deficiency & correction","nutrient name read from page title","Agricultural Crops","Millets","Cumbu (Pearl Millet)","Phosphorus","Phosphorus","Macro","Correction measure / remedy","Foliar spray of DAP 2% 2-3 sprays","https://agritech.tnau.ac.in/agriculture/plant_nutri/cumbu_phos.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Cumbu (Pearl Millet)","Potassium","Potassium","Macro","Deficiency symptoms","Symptoms first seen in older leaves. Irregular necrotic patterns intermingled with red pigmentation. Streaked patterns on the interveinal tissue symptoms at tips and margins move towards the base.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cumbu_potassium.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Cumbu (Pearl Millet)","Potassium","Potassium","Macro","Correction measure / remedy","Foliar spray of KCl 1%","https://agritech.tnau.ac.in/agriculture/plant_nutri/cumbu_potassium.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Cumbu (Pearl Millet)","Calcium","Calcium","Macro","Deficiency symptoms","Plants stunted. Young leaf tips stick together form sword-like projections. Serrated leaf edges, leaves brittle, brown, sticky near margins and turn brown.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cumbu_cal.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Cumbu (Pearl Millet)","Calcium","Calcium","Macro","Correction measure / remedy","Foliar application of CaSO4 2% twice.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cumbu_cal.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Cumbu (Pearl Millet)","Sulphur","Sulphur","Macro","Deficiency symptoms","Deficiency appears in upper leaves. Emerging leaves pale yellow in color.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cumbu_sul.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Cumbu (Pearl Millet)","Sulphur","Sulphur","Macro","Correction measure / remedy","Foliar spray of CaSO4 2%","https://agritech.tnau.ac.in/agriculture/plant_nutri/cumbu_sul.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Cumbu (Pearl Millet)","Boron","Boron","Micro","Deficiency symptoms","Apical growing points stop developing leaves thick brittle and irregular chlorosis.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cumbu_boron.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Cumbu (Pearl Millet)","Boron","Boron","Micro","Correction measure / remedy","Foliar spray of Borax 0.5 % at fortnightly intervals","https://agritech.tnau.ac.in/agriculture/plant_nutri/cumbu_boron.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Cumbu (Pearl Millet)","Copper","Copper","Micro","Deficiency symptoms","Younger leaf tips turn brown roll up and break.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cumbu_copper.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Cumbu (Pearl Millet)","Copper","Copper","Micro","Correction measure / remedy","Foliar spray of CuSO4 0.2%","https://agritech.tnau.ac.in/agriculture/plant_nutri/cumbu_copper.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Cumbu (Pearl Millet)","Iron","Iron","Micro","Deficiency symptoms","Deficiency appears first in newly emerging leaves. Interveinal tissue turns pale yellow with green veins chlorotic pattern uniformly leaves turn yellow or white. Newly formed leaves exhibit chlorotic symptoms.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cumbu_iron.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Cumbu (Pearl Millet)","Iron","Iron","Micro","Correction measure / remedy","Soil application of 20-25 Kg FeSO4 or foliar spray of 1% FeSO4 at weekly interval.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cumbu_iron.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Cumbu (Pearl Millet)","Zinc","Zinc","Micro","Deficiency symptoms","Deficiencies first in the younger leaves. Emerging leaves uniformly pale green. Chlorosis staring at the base progressive toward the tip. Bleached white patches on the leaves. Older leaves have yellow streaks or chlorotic striping between veins.","https://agritech.tnau.ac.in/agriculture/plant_nutri/cumbu_zinc.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Cumbu (Pearl Millet)","Zinc","Zinc","Micro","Correction measure / remedy","Soil application of ZnSO4 20-25 Kg/ha or foliar spray of ZnSO4 0.5%","https://agritech.tnau.ac.in/agriculture/plant_nutri/cumbu_zinc.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Maize","Nitrogen","Nitrogen","Macro","Deficiency symptoms","Chlorosis occurs in older leaves • Appearance of golden yellow color near the tips • Margins progresses both side.","https://agritech.tnau.ac.in/agriculture/plant_nutri/maize_nitro.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Maize","Nitrogen","Nitrogen","Macro","Correction measure / remedy","Foliar spray of 0.5% urea (5 g /lit) for twice at 10 days interval.","https://agritech.tnau.ac.in/agriculture/plant_nutri/maize_nitro.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Maize","Phosphorus","Phosphorus","Macro","Deficiency symptoms","Stunted plant growth and occurrence of pink pigmentation in the older leaves.","https://agritech.tnau.ac.in/agriculture/plant_nutri/maize_phos.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Maize","Phosphorus","Phosphorus","Macro","Correction measure / remedy","Foliar spray of DAP 2%.","https://agritech.tnau.ac.in/agriculture/plant_nutri/maize_phos.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Maize","Potassium","Potassium","Macro","Deficiency symptoms","Older leaves show yellow or yellowish green streaks • Scorching of leaf tips and margins. • Shortened internodes. • Plants become weak and fall down • Tip end of cobs are poorly filled. .","https://agritech.tnau.ac.in/agriculture/plant_nutri/maize_potassium.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Maize","Potassium","Potassium","Macro","Correction measure / remedy","Foliar application of 1% KCl or K2SO4 (10 g / litre of water) two times at 15 days interval. .TD height=""27"" colSpan=1 align=""right"" bgcolor=""#DEF0C2"" style","https://agritech.tnau.ac.in/agriculture/plant_nutri/maize_potassium.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Maize","Calcium","Calcium","Macro","Deficiency symptoms","Young leaf tips stick together form sword-like projections. Serrated leaf edges, leaves brittle, brown, sticky near margins and turn brown.","https://agritech.tnau.ac.in/agriculture/plant_nutri/maize_cal.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Maize","Calcium","Calcium","Macro","Correction measure / remedy","Foliar application of CaSO4 2% twice.","https://agritech.tnau.ac.in/agriculture/plant_nutri/maize_cal.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Maize","Magnesium","Magnesium","Macro","Deficiency symptoms","Deficiency appear first on older leaves, irregular necrotic spots on tips and margins, leaves become brittle and turn brown .","https://agritech.tnau.ac.in/agriculture/plant_nutri/maize_magnesium.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Maize","Magnesium","Magnesium","Macro","Correction measure / remedy","Foliar spray of MgSO4 2%.","https://agritech.tnau.ac.in/agriculture/plant_nutri/maize_magnesium.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Millets","Maize","Sulphur","Sulphur","Macro","Deficiency symptoms","Deficiency appears in upper leaves and emerging leaves appear as pale yellow.","https://agritech.tnau.ac.in/agriculture/plant_nutri/maize_sul.html"
